,Company name Latin alphabet,BvD ID number,"DM
Full name","DM
UCI (Unique Contact Identifier)","DM
Current or previous","DM
Type of role","DM
Board, committee or department"
,,,Mr Marco Klinger,P007306937,Current,SenMan,Senior management
,,,Mr Maximo Pedro Bernasconi,P245707824,Current,BoD,Board of Directors
,,,Ms Federica Garbolino,P128079437,Current,BoD,Board of Directors
,,,Mr Giorgio Klinger,P007306936,Current,BoD,Board of Directors
,,,Mr Giorgio Klinger,P007306936,Current,SenMan,Senior management
,,,Mr Wai Meng Jeffrey Lam,P288920442,Current,BoD,Board of Directors
,,,Mr Stefano Giuseppe Ermenegi Vergano,P071426725,Current,BoD,Board of Directors
,,,Dr. Yuen Cheong Yip,P288880210,Current,BoD,Board of Directors
,,,Ms Sofia Paternostro,P045744844,Current,AudC,Audit Committee
,,,Mr Giacomo Albano,P159134174,Current,AudC,Audit Committee
,,,Mr Stefano Amato,P206427478,Current,AudC,Audit Committee
,,,Mr Fulvio Masullo,P348102794,Current,AudC,Audit Committee
,,,Dr Alessandro Speranza,P070920122,Current,AudC,Audit Committee
,,,Mr Stefano Accettella,P159649231,Current,SenMan,Senior management
,,,Mr Vincenzo D'Alessio,P167609036,Current,SenMan,Senior management
,,,Mr Claudio Meda,P159649236,Current,SenMan,Senior management
,,,Mr Domenico Vadala,P159649237,Current,SenMan,Senior management
,,,Mr Roberto Marraffa,P093377491,Current,SenMan,Senior management
,,,Mr Bernardino Quattrociocchi,P070213448,Current,SenMan,Senior management
277.,BMT EURAIR,BE0426795248,BERUNOSA,C418244691,Current,BoD,Board of Directors
,,,Mr Olivier Patrick Henry Pierre Marie Caremans,P051401674,Current,BoD,Board of Directors
,,,Mr Johan Octaaf Rene de Lille,P044373467,Current,BoD,Board of Directors
278.,K2 AIRCRAFT LEASING (HOLDING) LIMITED,IE581444,Jarlath Canning,P109469411,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Julian Dunphy,P066091664,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Ms Kate Macken,P438649726,Current,"BoD,SenMan",Board of Directors; Senior management
,,,MFD SECRETARIES LIMITED,CVA0ACJYQA,Current,SenMan,Senior management
279.,INMAPA AERONAUTICA SLU.,ESB34201012,Mr Miguel Angel Sagredo Meneses,P042044861,Current,BoD,Board of Directors
,,,Mr Pedro Sagredo Meneses,P042044862,Current,BoD,Board of Directors
,,,Mr Pedro Sagredo Sainz De Aja,P042044860,Current,SenMan,Senior management
,,,Mr Pedro Sagredo Sainz De Aja,P042044860,Current,Sales,Sales & Retail
,,,Mr Pablo Cebrian Gonzalez,P042208496,Current,FinAcc,Finance & Accounting
,,,Ms Maria Jose Gallardo De Los Mozos,P415755233,Current,HR,Human Resources (HR)
,,,Mr Inocencio Burdalo Munoz,P335128868,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
280.,JIN SHAN 27 IRELAND COMPANY LIMITED,IE627811,Ms Caroline Mary Lucy Devlin,P007265530,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Ms Roisin Dixon,P041839631,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Ms Ling Li,P308212610,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Lu Zhendong,P385396897,Current,"BoD,SenMan",Board of Directors; Senior management
,,,APEX IFS LIMITED,C015797056,Current,SenMan,Senior management
281.,MAPS 2021-1 AVIATION (IRELAND) DESIGNATED ACTIVITY COMPANY,IE667360,Mr Michael John Gannon,P294079985,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Ms Lisa Hand,P041927484,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Joseph Gerard Keith Macdonald,P005577681,Current,"BoD,SenMan",Board of Directors; Senior management
,,,PAFS IRELAND LIMITED,CVA0ADRBDC,Current,SenMan,Senior management
282.,SAPPHIRE LEASING I (AOE 3) LIMITED,IE622437,Ms Mary Teresa Bradford,P041866588,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr William Brennan,P383565286,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Keith Brandon Selover,P734388610,Current,"BoD,SenMan",Board of Directors; Senior management
,,,PAFS IRELAND LIMITED,CVA0ADRBGH,Current,SenMan,Senior management
283.,LAF LEASING IRELAND 1 LIMITED,IE583165,Dongwoo Han,P737631884,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Denis Hanly,P007163593,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Chong Kyu Kim,P420990579,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Joseph Gerard Keith Macdonald,P005577681,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Michael O'Shea,P068571808,Current,"BoD,SenMan",Board of Directors; Senior management
,,,PAFS IRELAND LIMITED,CVA0ADRBJE,Current,SenMan,Senior management
284.,ISSOIRE AVIATION,FR312455298,REXIAA SAS,C416979906,Current,BoD,Board of Directors
,,,Ms Sandrine Balsegur,P435699433,Current,SenMan,Senior management
,,,Ms Claudine Duissard,P237245225,Current,"FinAcc,AdmDep",Finance & Accounting; Administration department
,,,Mr Laurent Bourdier,P003054241,Current,Sales,Sales & Retail
,,,Mr Jerome Bondis,P174118761,Current,Sales,Sales & Retail
,,,Mr Jeremy Renard,P445955663,Current,PMPMan,Product/Project/Market Management
,,,Mr Mathieu Bergougnoux,P435699434,Current,Qual,Quality Assurance
,,,Ms Fabienne Saucier,P079180904,Current,Proc,Purchasing & Procurement
,,,Mr Mathieu Perez,P445955662,Current,OthDep,Other or unspecified department
285.,ROMAERO SA BUCURESTI,RO1576401,Ms Iancu Vasile-Aurel,P652408768,Current,BoD,Board of Directors
,,,Macoveiciuc Alexandru-Costin,P434914786,Current,ExeB,Executive Board
,,,Ms Octavia Caruceriu-Negre,P626523989,Current,ExeB,Executive Board
,,,Ms Ruse Luiza,P723422471,Current,ExeB,Executive Board
,,,Ms Misa Popic,P008342154,Current,ExeB,Executive Board
,,,Ms Misa Popic,P008342154,Current,SenMan,Senior management
,,,Mr Gabriel Andrei Techera,P008374356,Current,ExeB,Executive Board
,,,Mr Gabriel Andrei Techera,P008374356,Current,SenMan,Senior management
,,,Mr Radu Aurelian Mircea Trifa,P238630206,Current,ExeB,Executive Board
,,,Mr Costel Enache,P714222411,Current,SenMan,Senior management
,,,Mr Mihai-Eduard Frasin,P063388559,Current,SenMan,Senior management
,,,Ms Luiza-Mihaela Haschka,P412555599,Current,SenMan,Senior management
,,,Mr Mihail Dan Stan,P008502055,Current,SenMan,Senior management
,,,Ms Cazana Victor Vlad,P349504437,Current,SenMan,Senior management
,,,Mr Boicu Vasile,P215564661,Current,SenMan,Senior management
,,,Ms Luiza Puscasiu,P349508209,Current,Sales,Sales & Retail
286.,2 EXCEL ENGINEERING LIMITED,GB08965471,Mr Matthew Caswell,P690567637,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Matthew Caswell,P690567637,Current,SenMan,Senior management
,,,Mr Trevor Andrew Gunn,P199850614,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Trevor Andrew Gunn,P199850614,Current,SenMan,Senior management
,,,Mr Christopher James Richard Norton,P048590151,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Christopher James Richard Norton,P048590151,Current,SenMan,Senior management
,,,Mr Tom Weech,P670384290,Current,Proc,Purchasing & Procurement
,,,Mr Ross Knight,P725527615,Current,OthDep,Other or unspecified department
,,,Mr Ben Griffiths,P679619159,Current,OthDep,Other or unspecified department
287.,MIDDLESEX GROUP LIMITED,GB00723314,Mr Laurence Emerson Foulds,P003342311,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Paul Stuart Foulds,P003342314,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Paul Stuart Foulds,P003342314,Current,SenMan,Senior management
,,,Mr John Michael Cobb,P290891487,Current,FinAcc,Finance & Accounting
,,,Mr Martin Edwards,P457659671,Current,AdmDep,Administration department
,,,Mr Clive Coveney,P670547840,Current,"R&D,Oper",Research & Development / Engineering; Operations & Production & Manufacturing
,,,Mr Anthony James Bravo,P049403476,Current,Oper,Operations & Production & Manufacturing
,,,Mr Tony Kirkwood,P671155260,Current,Oper,Operations & Production & Manufacturing
,,,Mr Stephen Miller,P694678835,Current,Oper,Operations & Production & Manufacturing
,,,Mr John Masey,P735984928,Current,Proc,Purchasing & Procurement
,,,Mr Ian Monk,P679509511,Current,OthDep,Other or unspecified department
,,,Mr Mark Parnell,P701469476,Current,OthDep,Other or unspecified department
288.,JIN SHAN 31 IRELAND COMPANY LIMITED,IE650312,Ms Caroline Mary Lucy Devlin,P007265530,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Ms Roisin Dixon,P041839631,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Ms Ling Li,P308212610,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Lu Zhendong,P385396897,Current,"BoD,SenMan",Board of Directors; Senior management
,,,APEX IFS LIMITED,C015797056,Current,SenMan,Senior management
289.,WYTWORNIA SPRZETU KOMUNIKACYJNEGO PZL-KALISZ S.A.,PL250658668,Mr Krzysztof Dziedzic,P670020777,Current,SupB,Supervisory Board
,,,Ms Elzbieta Jozefiak,P513486548,Current,SupB,Supervisory Board
,,,Mr Solidariusz Nowicki,P675496091,Current,SupB,Supervisory Board
,,,Mr Przemyslaw Plotek,P670020818,Current,SupB,Supervisory Board
,,,Mr Przemyslaw Przybylski,P689614815,Current,SupB,Supervisory Board
,,,Mr Jacek Jankowski,P041131793,Current,ExeB,Executive Board
,,,Mr Marcin Bruske,P668453434,Current,ExeB,Executive Board
,,,Ms Agnieszka Gajzler Pytlinska,P689659212,Current,LegDep,Legal/Compliance/Risk department
,,,Ms Anna Rozanska,P689659075,Current,LegDep,Legal/Compliance/Risk department
290.,ICON AEROSPACE TECHNOLOGY LTD,GB00282648,Mr Daniel Philip Bailey,P674998058,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Daniel Philip Bailey,P674998058,Current,Oper,Operations & Production & Manufacturing
,,,Mr David Jonathan Elliott Beare,P013903990,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr David Jonathan Elliott Beare,P013903990,Current,SenMan,Senior management
,,,Mr Lee Metcalfe,P294324959,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Lee Metcalfe,P294324959,Current,SenMan,Senior management
,,,Gill Sanderson,P671064726,Current,FinAcc,Finance & Accounting
,,,Ms Hayley Dipq,P735461692,Current,AdmDep,Administration department
,,,Mr Martin Hunt,P429513560,Current,AdmDep,Administration department
,,,Przemek Lemke,P735461694,Current,AdmDep,Administration department
,,,Ms Lesley Naylor,P183022673,Current,HR,Human Resources (HR)
,,,Mr Steve Rubery,P679574632,Current,Sales,Sales & Retail
,,,Mr John Anderton,P735461690,Current,R&D,Research & Development / Engineering
,,,Mr Kelvin Bowler,P735461688,Current,R&D,Research & Development / Engineering
,,,Mr Dave Whitehead,P735461687,Current,R&D,Research & Development / Engineering
,,,Ms Shelley Dodd,P735461693,Current,Oper,Operations & Production & Manufacturing
,,,Ms Anna Leczycka,P737037396,Current,Oper,Operations & Production & Manufacturing
,,,Ms Sandra Thompson,P735461686,Current,Oper,Operations & Production & Manufacturing
,,,Mr Tony Withell,P671064725,Current,Oper,Operations & Production & Manufacturing
,,,Ms Samantha Robinson,P735461696,Current,Proc,Purchasing & Procurement
,,,Mr Andy Riding,P057684592,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Mr Tony Bussey,P735461695,Current,OthDep,Other or unspecified department
,,,Mr Martin Dickinson,P735461689,Current,OthDep,Other or unspecified department
,,,Mr Richard Turner,P671064730,Current,OthDep,Other or unspecified department
,,,Mr Neil Walker,P735461685,Current,OthDep,Other or unspecified department
291.,FREGATE AERO,FR328274410,Mr Frederic Guimbal,P052858282,Current,BoD,Board of Directors
,,,Mr Frederic Guimbal,P052858282,Current,Sales,Sales & Retail
,,,Mr Dominique Florange,P435641673,Current,SenMan,Senior management
,,,Mr Ronan Fauvel,P650657542,Current,Sales,Sales & Retail
,,,Mr Thierry Herrmann,P077165135,Current,Oper,Operations & Production & Manufacturing
,,,Mr Thomas Humbert,P650657543,Current,Qual,Quality Assurance
292.,KDAC AIRCRAFT HOLDING 2 LIMITED,IE614296,Jarlath Canning,P109469411,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Julian Dunphy,P066091664,Current,"BoD,SenMan",Board of Directors; Senior management
,,,MFD SECRETARIES LIMITED,CVA0ACJYQA,Current,SenMan,Senior management
293.,TESI S.R.L.- TECNOLOGIE E SERVIZI INNOVATIVI,IT04627801212,Mr Paolo Pescetto,P070311778,Current,BoD,Board of Directors
,,,Mr Paolo Pescetto,P070311778,Current,BoD,Board of Directors
,,,Mr Luigi Punzo,P069809826,Current,BoD,Board of Directors
,,,Mr Luigi Punzo,P069809826,Current,SenMan,Senior management
,,,Ms Gioia Punzo,P069809825,Current,BoD,Board of Directors
,,,Ms Rosalba Punzo,P069809829,Current,BoD,Board of Directors
,,,Mr Antonio Riccio,P014341275,Current,BoD,Board of Directors
,,,Mr Francesco Alati,P070910284,Current,AudC,Audit Committee
,,,Mr Simone Lo Giudice,P703363165,Current,AudC,Audit Committee
,,,Mr Pasquale Militare,P070769007,Current,AudC,Audit Committee
,,,Mr Massimo Tartaro,P070121361,Current,AudC,Audit Committee
,,,Mr Antonio Vernillo,P086940287,Current,AudC,Audit Committee
294.,UMI AERONAUTICA SL,ESB91573675,INDUSTRIA ESPECIALIZADA EN AERONAUTICA S. A.,CVA0595329,Current,BoD,Board of Directors
,,,MECANIZADOS EULOGIO PENA S. L.,CVA0081016,Current,BoD,Board of Directors
,,,Mr Antonio Cresis,P218871780,Current,SenMan,Senior management
,,,Ms Mila Cruz Riscart,P218871770,Current,FinAcc,Finance & Accounting
,,,Ms Mila Cruz Riscart,P218871770,Current,HR,Human Resources (HR)
295.,KDAC AIRCRAFT TRADING 2 LIMITED,IE614298,Jarlath Canning,P109469411,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Julian Dunphy,P066091664,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Ms Kate Macken,P438649726,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Eoghan Madigan,P664964551,Current,"BoD,SenMan",Board of Directors; Senior management
,,,MFD SECRETARIES LIMITED,CVA0ACJYQA,Current,SenMan,Senior management
296.,AVIACOMP,FR504313891,SOGECLAIR,CVA0ACRCNB,Current,BoD,Board of Directors
,,,Mr Antoine Chauvigne,P471536422,Current,SenMan,Senior management
,,,Ms Marie Sbargoud,P432453318,Current,FinAcc,Finance & Accounting
297.,DYNAMIC AEROSPACE FABRICATIONS LTD,GB12020639,Mr David James Greatorex,P003985945,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr David James Greatorex,P003985945,Current,OthDep,Other or unspecified department
,,,Mr Donald Daniel Nystrom,P348713743,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Donald Daniel Nystrom,P348713743,Current,SenMan,Senior management
,,,Mr Michael Arthur Blemmings,P414106756,Current,SenMan,Senior management
,,,Ms Jennifer Chau,P735689638,Current,"SenMan,AdmDep",Senior management; Administration department
,,,Ms Kimanpreet Kaur Sandhu,P421843534,Current,FinAcc,Finance & Accounting
,,,Ms Chloe Swain,P735689640,Current,HR,Human Resources (HR)
,,,Mr Martin Wainwright,P735689727,Current,"Sales,MarkAdv",Sales & Retail; Marketing & Advertising
,,,Ayden Endsor,P735689649,Current,R&D,Research & Development / Engineering
,,,Mr Samuel Carrancho,P735689642,Current,"R&D,Oper",Research & Development / Engineering; Operations & Production & Manufacturing
,,,Mr Richard Dixon,P735689650,Current,R&D,Research & Development / Engineering
,,,Ms Helen Fimmm,P735689671,Current,R&D,Research & Development / Engineering
,,,Mr Adal Herrera,P735689662,Current,R&D,Research & Development / Engineering
,,,Mr Anthony Palmer,P735689645,Current,R&D,Research & Development / Engineering
,,,Mr Anees Rafique,P735689729,Current,R&D,Research & Development / Engineering
,,,Stacey Brown,P735689663,Current,Oper,Operations & Production & Manufacturing
,,,Mr James Consterdine,P735689655,Current,Oper,Operations & Production & Manufacturing
,,,Jordan Smith,P735689641,Current,Oper,Operations & Production & Manufacturing
,,,Mr Chris Cropley,P735689648,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Mr Simon Proffitt,P735689667,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Mr Marcin Jozef Swietoslawski,P701941673,Current,IT&IS,Information Technology (IT) & Information Systems (IS)
,,,Ms Krystyna Bucholc,P735689669,Current,Health,Health & Safety
,,,Tarnia Magee,P735689673,Current,Health,Health & Safety
,,,Mr Nathan Blaylock,P735689653,Current,OthDep,Other or unspecified department
,,,Przemek Chrzaszcz,P735689654,Current,OthDep,Other or unspecified department
,,,Mr Stuart Fidoe,P735689666,Current,OthDep,Other or unspecified department
,,,Mr Ben Firth,P735689651,Current,OthDep,Other or unspecified department
,,,Rafa Gazewski,P735689635,Current,OthDep,Other or unspecified department
,,,Ms Joanne Gregory,P735689660,Current,OthDep,Other or unspecified department
,,,Mr Kamel Khuram,P735689634,Current,OthDep,Other or unspecified department
,,,Mr Cahal Mcmenamin,P735689674,Current,OthDep,Other or unspecified department
,,,Mr Kevin Parker,P735689668,Current,OthDep,Other or unspecified department
,,,Mr Daniel Salt,P735689726,Current,OthDep,Other or unspecified department
,,,Mr Garry Weselby,P047986193,Current,OthDep,Other or unspecified department
298.,JCB AERO,FR401027057,Mr Tarek Kadri Muhiddin,P003856305,Current,BoD,Board of Directors
,,,Mr Mauro Giuseppe Grossi,P089783769,Current,SenMan,Senior management
,,,Ms Mylene Menconi,P435725783,Current,SenMan,Senior management
,,,Mr Bernd Valentin Schramm,P132725829,Current,SenMan,Senior management
,,,Mr Serge Paul,P445964559,Current,"FinAcc,AdmDep",Finance & Accounting; Administration department
,,,Ms Beatrice Kruczek,P635444788,Current,FinAcc,Finance & Accounting
,,,Ms Assia Petrova Duveau,P408681146,Current,HR,Human Resources (HR)
,,,Mr Pierre Mandelli,P088261245,Current,Sales,Sales & Retail
,,,Mr Eric Cagnat,P075818816,Current,R&D,Research & Development / Engineering
,,,Mr Herve Nau,P435725784,Current,R&D,Research & Development / Engineering
,,,Mr Gerard Esteve,P502531062,Current,Qual,Quality Assurance
,,,Ms Catherine Roux,P698584695,Current,Proc,Purchasing & Procurement
299.,WSA MSN 42338 (IRELAND) DESIGNATED ACTIVITY COMPANY,IE587438,Ms Sheila Jane Kinehan,P462411032,Current,"BoD,SenMan",Board of Directors; Senior management
,,,Mr Conor Eugene O'Malley,P199488223,Current,"BoD,SenMan",Board of Directors; Senior management
,,,CANYON CORPORATE SECRETARIES LIMITED,CVA0ABUKVW,Current,SenMan,Senior management
300.,GOMSPACE A/S,DK30899849,Mr Jens Maaloe,P046757226,Current,BoD,Board of Directors
